"name","logo","homepage_url","crunchbase"
"Gem.co","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/gem.co.svg","https://gem.co/","https://www.crunchbase.com/organization/bitvault"
"Guangzhou Technology Innovation Space Information Technology Co., Ltd.","","https://feibaos.cn/",""
"iownit capital and markets, Inc","","https://iownit.us/",""
"iownit capital and markets, Inc","","https://iownit.us/",""
"iownit capital and markets, Inc","","https://iownit.us/",""
"Kyra Solutions, Inc.","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/kyra-solutions-inc.svg","https://kyrasolutions.com/","https://www.crunchbase.com/organization/kyra-solutions-inc"
"Kyra Solutions, Inc.","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/kyra-solutions-inc.svg","https://kyrasolutions.com/","https://www.crunchbase.com/organization/kyra-solutions-inc"
"LG CNS","","https://lgcns.com/","https://www.crunchbase.com/organization/lg-cns"
"LG CNS","","https://lgcns.com/","https://www.crunchbase.com/organization/lg-cns"
"LG CNS","","https://lgcns.com/","https://www.crunchbase.com/organization/lg-cns"
"LG CNS","","https://lgcns.com/","https://www.crunchbase.com/organization/lg-cns"
"LG CNS","","https://lgcns.com/","https://www.crunchbase.com/organization/lg-cns"
"OPEN CERT","","https://opencert.fr/",""
"OSCRE International","","https://oscre.org/",""
"OSCRE International","","https://oscre.org/",""
"OSCRE International","","https://oscre.org/",""
"OSCRE International","","https://oscre.org/",""
"RadarWin Cyber Technology (Shanghai) Co., Ltd.","","https://radarwin.com/",""
"RadarWin Cyber Technology (Shanghai) Co., Ltd.","","https://radarwin.com/",""
"Shanghai Tianji Network Co., Ltd.","","https://ebaas.com/",""
"Shanghai Yuanlu Jiajia Information&Technology Co. Ltd","","https://jiajiagroup.net/",""
"Shenzhen Qianhai Zhaogu Financial Service CO., LTD","","https://99.com/",""
"Shenzhen Qianhai Zhaogu Financial Service CO., LTD","","https://99.com/",""
"Shenzhen UltraChain Technologies, Limited","","https://shenzhenultrachaintechnologies.invalid/","https://www.crunchbase.com/organization/unknown-com"
"Shenzhen UltraChain Technologies, Limited","","https://shenzhenultrachaintechnologies.invalid/","https://www.crunchbase.com/organization/unknown-com"
"Shenzhen UltraChain Technologies, Limited","","https://shenzhenultrachaintechnologies.invalid/","https://www.crunchbase.com/organization/unknown-com"
"Tequa Creek Holdings LLC","","https://tequacreek.net/",""
"Tequa Creek Holdings LLC","","https://tequacreek.net/",""
"Tequa Creek Holdings LLC","","https://tequacreek.net/",""
"University of Luxembourg, Interdisciplinary Centre for Security, Reliability and Trust (SnT)","","https://uni.lu/","https://www.crunchbase.com/organization/university-of-luxembourg"
"University of Luxembourg, Interdisciplinary Centre for Security, Reliability and Trust (SnT)","","https://uni.lu/","https://www.crunchbase.com/organization/university-of-luxembourg"
"University of Luxembourg, Interdisciplinary Centre for Security, Reliability and Trust (SnT)","","https://uni.lu/","https://www.crunchbase.com/organization/university-of-luxembourg"
"Xooa Inc","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/xooa-inc.svg","https://xooa.com/",""
"Xooa Inc","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/xooa-inc.svg","https://xooa.com/",""
"Xooa Inc","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/xooa-inc.svg","https://xooa.com/",""
"YouSpE Holding Pte. Ltd.","","https://youspe.tech/",""
"Yuntu Kerui Technology Co., Ltd. dba Wutongtree","","https://crypto2x.com/",""
